DATAFLOW,LAST UPDATE,freq,unit,iccs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,1994,429,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,1995,411,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,1996,397,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,1997,463,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,1998,522,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,1999,486,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,2000,553,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,2001,577,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,2002,564,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,2003,587,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,2004,520,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,2005,518,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,2006,476,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Spain,2007,482,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,1993,130,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,1994,147,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,1995,146,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,1996,156,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,1997,139,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,1998,113,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,1999,143,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,2000,148,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,2001,156,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,2002,132,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,2003,103,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,2004,144,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,2005,113,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,2006,112,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Finland,2007,128,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,1994,1406,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,1995,1336,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,1996,1171,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,1997,963,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,1998,961,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,1999,953,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,2000,1051,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,2001,1046,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,2002,1119,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,2003,987,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,2004,990,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,2005,976,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,2006,879,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,France,2007,826,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,1994,1406,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,1995,1336,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,1996,1171,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,1997,963,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,1998,961,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,1999,953,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,2000,1051,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,2001,1046,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,2002,1119,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,2003,987,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,2004,990,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,2005,976,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,2006,879,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Metropolitan France,2007,826,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,1993,243,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,1994,161,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,1995,188,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,1996,133,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,1997,137,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,1998,131,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,1999,121,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,2000,111,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,2001,86,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,2002,88,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,2003,76,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,2004,89,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,2005,76,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,2006,75,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Croatia,2007,66,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,1993,298,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,1994,313,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,1995,296,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,1996,271,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,1997,289,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,1998,289,,
